[-25,-98,-12],
[27,-97,-13],
[24,32,-18],
[-56,-45,-24],
[8,41,-24],
[-21,-22,-20],
[17,-28,-17],
[-37,-29,-26],
[65,-24,-19],
[52,-34,-27],
[55,-31,-17],
[34,38,-12],
[-7,-52,61],
[-14,-18,40],
[0,-15,47],
[10,-2,45],
[-7,-21,65],
[-7,-33,72],
[13,-33,75],
[-54,-23,43],
[29,-17,71],
[10,-46,73],
[-23,-30,72],
[-40,-19,54],
[29,-39,59],
[50,-20,42],
[-38,-27,69],
[20,-29,60],
[44,-8,57],
[-29,-43,61],
[10,-17,74],
[22,-42,69],
[-45,-32,47],
[-21,-31,61],
[-13,-17,75],
[42,-20,55],
[-38,-15,69],
[-16,-46,73],
[2,-28,60],
[3,-17,58],
[38,-17,45],
[-49,-11,35],
[36,-9,14],
[51,-6,32],
[-53,-10,24],
[66,-8,25],
[-3,2,53],
[54,-28,34],
[19,-8,64],
[-16,-5,71],
[-10,-2,42],
[37,1,-4],
[13,-1,70],
[7,8,51],
[-45,0,9],
[49,8,-1],
[-34,3,4],
[-51,8,-2],
[-5,18,34],
[36,10,1],
[32,-26,13],
[65,-33,20],
[58,-16,7],
[-38,-33,17],
[-60,-25,14],
[-49,-26,5],
[43,-23,20],
[-50,-34,26],
[-53,-22,23],
[-55,-9,12],
[56,-5,13],
[59,-17,29],
[-30,-27,12],
[-41,-75,26],
[6,67,-4],
[8,48,-15],
[-13,-40,1],
[-18,63,-9],
[-46,-61,21],
[43,-72,28],
[-44,12,-34],
[46,16,-30],
[-68,-23,-16],
[-58,-26,-15],
[27,16,-17],
[-44,-65,35],
[-39,-75,44],
[-7,-55,27],
[6,-59,35],
[-11,-56,16],
[-3,-49,13],
[8,-48,31],
[15,-63,26],
[-2,-37,44],
[11,-54,17],
[52,-59,36],
[23,33,48],
[-10,39,52],
[-16,29,53],
[-35,20,51],
[22,39,39],
[13,55,38],
[-10,55,39],
[-20,45,39],
[6,54,16],
[6,64,22],
[-7,51,-1],
[9,54,3],
[-3,44,-9],
[8,42,-5],
[-11,45,8],
[-2,38,36],
[-3,42,16],
[-20,64,19],
[-8,48,23],
[65,-12,-19],
[-56,-13,-10],
[-58,-30,-4],
[65,-31,-9],
[-68,-41,-5],
[13,30,59],
[12,36,20],
[52,-2,-16],
[-26,-40,-8],
[27,-37,-13],
[-34,-38,-16],
[28,-77,-32],
[52,7,-30],
[-53,3,-27],
[47,-50,29],
[-49,-42,1],
[-31,19,-19],
[-2,-35,31],
[-7,-71,42],
[11,-66,42],
[4,-48,51],
[-46,31,-13],
[-10,11,67],
[49,35,-12],
[8,-91,-7],
[17,-91,-14],
[-12,-95,-13],
[18,-47,-10],
[40,-72,14],
[8,-72,11],
[-8,-81,7],
[-28,-79,19],
[20,-66,2],
[-24,-91,19],
[27,-59,-9],
[-15,-72,-8],
[-18,-68,5],
[43,-78,-12],
[-47,-76,-10],
[-14,-91,31],
[15,-87,37],
[29,-77,25],
[20,-86,-2],
[15,-77,31],
[-16,-52,-1],
[42,-66,-8],
[24,-87,24],
[6,-72,24],
[-42,-74,0],
[26,-79,-16],
[-16,-77,34],
[-3,-81,21],
[-40,-88,-6],
[37,-84,13],
[6,-81,6],
[-26,-90,3],
[-33,-79,-13],
[37,-81,1],
[-44,2,46],
[48,25,27],
[-47,11,23],
[-53,-49,43],
[-23,11,64],
[58,-53,-14],
[24,45,-15],
[34,54,-13],
[-21,41,-20],
[-18,-76,-24],
[17,-80,-34],
[35,-67,-34],
[47,10,33],
[-41,6,33],
[-42,38,21],
[38,43,15],
[49,-42,45],
[-28,-58,48],
[44,-53,47],
[32,14,56],
[37,-65,40],
[-42,-55,45],
[40,18,40],
[-34,55,4],
[-42,45,-2],
[33,-53,44],
[43,49,-2],
[-42,25,30],
[-3,26,44],
[11,-39,50],
[55,-45,37],
[42,0,47],
[31,33,26],
[48,22,10],
[-35,20,0],
[36,22,3],
[37,32,-2],
[34,16,-8],
[-11,26,25],
[-1,15,44],
[-28,52,21],
[0,30,27],
[5,23,37],
[10,22,27],
[31,56,14],
[26,50,27],
[-39,51,17],
[2,-24,30],
[6,-24,0],
[-2,-13,12],
[-10,-18,7],
[12,-17,8],
[-5,-28,-4],
[-22,7,-5],
[-15,4,8],
[31,-14,2],
[23,10,1],
[29,1,4],
[-31,-11,0],
[15,5,7],
[9,-4,6],
[54,-43,22],
[-56,-50,10],
[-55,-40,14],
[52,-33,8],
[51,-29,-4],
[56,-46,11],
[53,33,1],
[-49,25,-1],
[-16,-65,-20],
[-32,-55,-25],
[22,-58,-23],
[1,-62,-18],
[33,-12,-34],
[-31,-10,-36],
[49,-3,-38],
[-50,-7,-39],
[10,-62,61],
[-52,-63,5],
[-47,-51,-21],
[46,-47,-17],
[47,-30,49],
[22,-65,48],
[46,-59,4],
[25,-58,60],
[-33,-46,47],
[-27,-71,37],
[-32,-1,54],
[-42,-60,-9],
[-17,-59,64],
[29,-5,54],
